timestamp,champion,team,pixel_x,pixel_y,map_x,map_y,confidence
1774046652.177,unknown,CHAOS,488,25,14145,14149,0.0
1774046652.177,unknown,CHAOS,149,36,4318,13832,0.0
1774046652.177,unknown,CHAOS,480,359,13913,4524,0.0
1774046652.177,unknown,CHAOS,385,128,11159,11181,0.0
1774046652.177,unknown,CHAOS,275,52,7971,13371,0.0
1774046652.177,unknown,CHAOS,461,230,13362,8241,0.0
1774046652.177,unknown,CHAOS,338,165,9797,10115,0.0
1774046652.177,unknown,CHAOS,363,43,10522,13630,0.0
1774046652.177,unknown,CHAOS,310,218,8985,8587,0.0
1774046652.177,unknown,CHAOS,458,57,13275,13227,0.0
1774046652.177,unknown,CHAOS,401,112,11623,11642,0.0
1774046652.177,unknown,CHAOS,390,43,11304,13630,0.0
1774046652.177,unknown,CHAOS,436,63,12638,13054,0.0
1774046652.177,unknown,CHAOS,452,81,13101,12535,0.0
1774046654.111,unknown,ORDER,24,492,695,691,0.0
1774046654.111,unknown,CHAOS,149,36,4318,13832,0.0
1774046654.111,unknown,CHAOS,480,359,13913,4524,0.0
1774046654.111,unknown,CHAOS,385,128,11159,11181,0.0
1774046654.111,unknown,CHAOS,275,52,7971,13371,0.0
1774046654.111,unknown,CHAOS,461,230,13362,8241,0.0
1774046654.111,unknown,CHAOS,338,165,9797,10115,0.0
1774046654.111,unknown,CHAOS,363,43,10522,13630,0.0
1774046654.111,unknown,CHAOS,310,218,8985,8587,0.0
1774046654.111,unknown,CHAOS,458,57,13275,13227,0.0
1774046654.111,unknown,CHAOS,401,112,11623,11642,0.0
1774046654.111,unknown,CHAOS,390,43,11304,13630,0.0
1774046654.111,unknown,CHAOS,436,63,12638,13054,0.0
1774046654.111,unknown,CHAOS,452,81,13101,12535,0.0
1774046654.111,unknown,ORDER,473,34,13710,13890,0.0
1774046656.112,unknown,CHAOS,149,36,4318,13832,0.0
1774046656.112,unknown,CHAOS,480,359,13913,4524,0.0
1774046656.112,unknown,CHAOS,385,128,11159,11181,0.0
1774046656.112,unknown,CHAOS,275,52,7971,13371,0.0
1774046656.112,unknown,CHAOS,461,230,13362,8241,0.0
1774046656.112,unknown,CHAOS,338,165,9797,10115,0.0
1774046656.112,unknown,CHAOS,363,43,10522,13630,0.0
1774046656.112,unknown,CHAOS,310,218,8985,8587,0.0
1774046656.112,unknown,CHAOS,458,57,13275,13227,0.0
1774046656.112,unknown,CHAOS,401,112,11623,11642,0.0
1774046656.112,unknown,CHAOS,390,43,11304,13630,0.0
1774046656.112,unknown,CHAOS,235,193,6811,9308,0.0
1774046656.112,unknown,CHAOS,436,63,12638,13054,0.0
1774046656.112,unknown,CHAOS,452,81,13101,12535,0.0
